orderID,productID
0,452
0,452
0,452
0,252
1,521
1,59
1,59
1,59
1,963
1,963
1,963
1,307
1,307
1,307
1,376
1,376
2,857
2,857
2,857
2,467
2,585
2,585
2,585
2,957
2,957
2,957
3,309
3,309
4,193
4,193
4,193
4,419
4,419
4,976
4,83
4,83
4,83
4,984
4,848
5,436
5,436
5,436
5,270
5,3
5,771
5,279
6,393
6,393
6,950
6,950
6,950
7,125
7,149
8,822
8,822
8,690
8,574
8,671
8,671
8,512
8,512
8,512
9,37
9,470
9,470
9,611
9,611
9,29
9,532
10,208
10,208
10,385
10,385
10,385
11,509
11,509
11,509
11,673
11,522
11,522
11,522
11,855
11,855
11,855
11,224
11,224
11,719
12,886
12,886
12,886
12,164
12,164
12,732
12,10
13,59
13,59
13,59
13,629
13,629
13,629
14,355
14,355
15,139
15,139
15,228
15,228
15,843
15,843
15,843
16,447
16,447
16,447
16,925
16,415
16,415
16,415
16,704
17,354
17,486
18,586
18,586
18,586
18,605
18,605
19,10
19,10
19,346
19,346
19,431
19,431
19,431
19,595
19,595
19,595
19,852
19,852
19,852
20,594
20,800
20,800
20,284
20,43
21,472
21,472
21,441
21,441
21,545
21,545
21,545
21,491
21,491
21,491
21,733
21,607
22,651
22,651
22,480
22,480
22,203
22,203
22,203
23,417
23,417
23,871
23,896
23,896
24,102
24,102
24,102
24,9
24,9
24,940
24,940
24,940
24,543
25,226
25,226
25,40
25,40
25,821
25,821
25,821
25,866
25,879
25,879
25,879
25,852
25,852
26,956
26,740
27,804
27,804
27,804
27,268
27,268
27,266
27,266
27,490
27,490
27,490
27,770
27,770
27,770
28,976
28,976
28,976
28,391
28,391
28,391
28,623
29,765
29,765
29,765
29,734
29,734
29,655
29,463
29,253
29,253
29,253
30,802
30,802
30,365
30,365
30,627
31,668
31,668
31,602
31,602
31,365
32,507
33,870
33,870
33,870
33,249
33,249
33,949
33,353
33,353
33,353
33,394
34,932
34,932
34,85
34,85
34,85
34,896
34,607
34,607
34,677
34,677
34,153
34,153
34,153
35,604
35,604
35,604
35,459
35,459
35,459
35,90
35,90
35,404
35,404
35,46
35,976
36,938
36,938
36,509
36,509
36,509
36,145
36,145
36,145
36,215
36,215
36,215
37,271
37,271
37,599
37,599
37,491
37,80
37,80
37,80
37,181
37,181
37,181
37,71
37,71
38,718
38,718
38,718
38,43
38,682
38,682
38,682
38,820
38,820
39,581
39,581
39,882
39,882
40,277
40,533
41,856
41,856
41,856
41,933
41,933
41,933
41,582
42,149
42,149
42,374
43,308
43,308
43,308
43,182
43,182
43,182
43,230
43,230
43,230
44,645
45,320
45,320
46,612
47,929
47,929
47,565
47,565
47,919
47,919
47,266
47,266
48,317
48,317
48,317
49,706
49,706
49,706
49,739
49,739
49,739
49,708
49,708
49,955
49,955
49,955
49,565
49,34
49,34
49,34
50,19
50,19
50,241
50,971
51,872
52,458
52,458
52,458
52,106
52,106
52,186
52,634
52,634
52,634
52,310
52,310
52,319
53,237
53,237
54,250
54,962
54,962
54,962
54,245
54,245
54,245
55,628
55,306
55,306
55,595
55,595
55,32
55,32
55,32
56,583
56,780
56,780
56,453
56,491
56,491
57,228
57,228
57,965
58,850
58,850
59,316
59,316
59,316
59,919
59,919
60,807
60,807
60,226
60,226
60,226
60,480
60,480
60,480
60,572
61,937
61,937
61,567
61,567
62,663
62,391
62,391
62,387
62,387
62,387
62,994
62,345
62,345
62,345
62,537
63,572
63,603
63,603
63,603
63,27
63,27
63,336
63,336
63,297
63,297
63,297
63,276
63,276
64,533
64,650
64,650
65,591
65,902
65,902
65,902
65,866
65,866
65,866
66,622
66,622
66,622
66,831
66,831
66,831
66,248
66,293
67,65
67,65
67,65
68,143
68,143
68,90
68,90
68,90
68,37
68,37
68,875
68,755
69,154
69,593
69,141
69,656
70,905
71,339
71,339
71,339
71,257
71,232
71,846
71,119
71,276
71,276
72,810
72,810
72,810
72,331
72,331
72,811
72,811
72,811
73,705
73,705
73,705
73,617
73,617
73,754
73,840
74,214
74,214
74,754
74,645
74,645
74,396
74,396
75,746
75,746
75,746
75,552
75,552
76,869
76,869
76,939
76,939
76,939
77,163
77,163
77,986
77,986
77,452
77,452
77,517
77,925
77,925
78,594
78,594
78,509
78,509
78,486
78,734
78,636
79,488
80,522
80,522
80,522
81,673
81,232
81,232
81,376
81,376
81,376
81,913
81,985
81,985
81,364
81,364
81,364
82,328
82,151
82,151
82,151
82,569
82,569
82,569
82,179
82,179
82,351
82,351
82,35
82,35
83,765
83,765
83,765
84,882
84,882
84,859
84,859
84,822
84,758
